"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 6"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Plumbtech+Plumbing+Inc/data=!4m7!3m6!1s0x882abd3f0fb2f2a3:0x8808a1d8e4d3c1ca!8m2!3d44.3703533!4d-79.7162541!16s%2Fg%2F1tz72098!19sChIJo_KyDz-9KogRysHT5NihCIg?authuser=0&hl=en&rclk=1","Plumbtech Plumbing Inc","4.7","(293)","Plumber","·","24 Ferndale Dr N","Open 24 hours","·","(705) 722-7209","http://www.plumbtechplumbing.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The job was completed with no mess and a very reasonable price.""",""
"https://www.google.com/maps/place/Harris+Plumbing+Inc./data=!4m7!3m6!1s0x882aa31083cd073b:0xc7123f45547b36e5!8m2!3d44.4090091!4d-79.6850697!16s%2Fg%2F1tg4l_x2!19sChIJOwfNgxCjKogR5TZ7VEU_Esc?authuser=0&hl=en&rclk=1","Harris Plumbing Inc.","4.6","(444)","Plumber","·","18 Alliance Blvd Unit 7","Open 24 hours","·","(705) 468-0401","https://harrisplumbing.ca/contact-us/plumber-barrie/?utm_source=google&utm_medium=organic&utm_campaign=gmbBarrie","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He was clean, courteous and figured out our",""
"https://www.google.com/maps/place/Black+Forest/data=!4m7!3m6!1s0x681abfe2916caec7:0x249b1be853454acf!8m2!3d44.3878888!4d-79.6946234!16s%2Fg%2F11sk3wnbkv!19sChIJx65skeK_GmgRz0pFU-gbmyQ?authuser=0&hl=en&rclk=1","Black Forest","4.9","(156)","Plumber","·","49 High St 3rd floor","Open 24 hours","·","(705) 707-1116","https://www.blackforestplumbing.com/barrie","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The",""
"https://www.google.com/maps/place/Plumbs+Up/data=!4m7!3m6!1s0x882ab1c72a82d7f7:0x27f75d357c273063!8m2!3d44.3384887!4d-79.6971267!16s%2Fg%2F11j6f_h4hh!19sChIJ99eCKsexKogRYzAnfDVd9yc?authuser=0&hl=en&rclk=1","Plumbs Up","4.9","(50)","Plumber","·","92 Caplan Ave Suite 708","Open","·","(289) 205-3378","https://www.plumbsup.ca/locations/simcoe-county/plumber-in-barrie-on","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ryan arrived right on time and was polite and personable.""","· Closes 5 p.m."
"https://www.google.com/maps/place/Superior+Plumbing+%26+Heating+of+Barrie/data=!4m7!3m6!1s0x8ee2dfbcae800e5:0x89aa4f7005179923!8m2!3d44.3316304!4d-79.6783984!16s%2Fg%2F11m5rc71sv!19sChIJ5QDoyvst7ggRI5kXBXBPqok?authuser=0&hl=en&rclk=1","Superior Plumbing & Heating of Barrie","4.6","(76)","Plumber","·","131 Saunders Rd Unit 9","Open 24 hours","·","(705) 535-0982","https://superiorplumbing.ca/barrie/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Replaced the entire sewer line and restored everything perfectly.""",""
"https://www.google.com/maps/place/Drain+Right+Now+INC/data=!4m7!3m6!1s0x882aa3220a9c5453:0x18a4eace84e94cc4!8m2!3d44.4028547!4d-79.6881181!16s%2Fg%2F1q6bbjqky!19sChIJU1ScCiKjKogRxEzphM7qpBg?authuser=0&hl=en&rclk=1","Drain Right Now INC","4.8","(278)","Plumber","·","31 Bothwell Crescent","Open 24 hours","·","(705) 309-0758","https://drainrightnow.com/#gmb","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They cleared our drain professionally and quickly - and at a good price.""",""
"https://www.google.com/maps/place/Full+Moon+Plumbing+Inc/data=!4m7!3m6!1s0x882abd339985950d:0x730147c9a4c72bea!8m2!3d44.3838755!4d-79.710627!16s%2Fg%2F11dzschfpq!19sChIJDZWFmTO9KogR6ivHpMlHAXM?authuser=0&hl=en&rclk=1","Full Moon Plumbing Inc","4.7","(58)","Plumber","·","65 Cedar Pointe Dr Unit 234","Closed","·","(705) 720-2010","http://fullmoonplumbing.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They arrived within an hour and had the issue fixed in no time.""","· Opens 8 a.m. Mon"
"https://www.google.com/maps/place/Townhouse+Plumbing/data=!4m7!3m6!1s0xfcde43300a5eaf:0x742835049c7abed7!8m2!3d44.4187431!4d-79.7084321!16s%2Fg%2F11wxmzcf9p!19sChIJr14KMEPe_AAR1756nAQ1KHQ?authuser=0&hl=en&rclk=1","Townhouse Plumbing","4.9","(73)","Plumber","·","64 Hanmer St E","Open 24 hours","·","(249) 288-3378","https://www.townhouseplumbing.ca/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Arrived early and got the job done in a few hours.""",""
